image_path centroid_x centroid_y angle
MIA_L0001/frame00482.bmp 61.4291 66.2127 -19.4011
MIA_L0001/frame00483.bmp 61.7500 66.1472 -16.1346
MIA_L0001/frame00484.bmp 59.9638 66.4745 -15.9137
MIA_L0001/frame00485.bmp 59.2917 66.7303 -14.9232
MIA_L0001/frame00486.bmp 60.7509 65.8975 -18.4235
MIA_L0001/frame00487.bmp 60.5618 66.3705 -17.7087
MIA_L0001/frame00488.bmp 59.5508 66.9882 -21.2413
MIA_L0001/frame00489.bmp 61.6185 66.0963 -20.0927
MIA_L0001/frame00490.bmp 58.6891 66.9783 -20.6322
MIA_L0001/frame00491.bmp 61.8016 66.6837 -17.7103
MIA_L0001/frame00492.bmp 60.0518 66.5569 -13.6653
MIA_L0001/frame00493.bmp 60.2372 66.2290 -19.4874
MIA_L0001/frame00494.bmp 29.5385 60.3846 39.2652
MIA_L0001/frame00495.bmp 59.1495 66.8989 -21.4715
MIA_L0001/frame00496.bmp 61.1417 66.5030 -16.4520
MIA_L0001/frame00497.bmp 62.1572 66.2505 -17.7236
MIA_L0001/frame00498.bmp 59.0446 66.6295 -14.2768
MIA_L0001/frame00499.bmp 59.6891 67.0525 -19.8652
MIA_L0001/frame00500.bmp 60.3251 66.3209 -12.1746
MIA_L0001/frame00503.bmp 50.3675 71.0232 -64.7782
MIA_L0001/frame00504.bmp 46.0149 70.6221 -3.1901
MIA_L0001/frame00505.bmp 44.4937 69.8146 -9.0736
MIA_L0001/frame00506.bmp 8.0000 96.0000 -0.0000
MIA_L0001/frame00507.bmp 40.9220 71.2764 -12.4752
MIA_L0001/frame00508.bmp 44.0486 70.0350 -6.6702
MIA_L0001/frame00509.bmp 44.2573 70.5745 -8.7707
MIA_L0001/frame00510.bmp 43.1612 70.5330 -8.9642
MIA_L0001/frame00511.bmp 43.9100 70.8467 -10.6335
MIA_L0001/frame00512.bmp 45.5423 70.3638 -1.5898
MIA_L0001/frame00513.bmp 44.1727 70.5123 -5.2534
MIA_L0001/frame00514.bmp 42.2730 70.8038 -5.4012
MIA_L0001/frame00515.bmp 43.7282 70.5806 -4.8402
MIA_L0001/frame00516.bmp 43.4825 70.9629 -8.2422
MIA_L0001/frame00517.bmp 44.3699 70.7541 -8.7577
MIA_L0001/frame00518.bmp 45.0607 70.0911 -8.8756
